endpoint,status,seed,best_iteration,best_score_valid_aucpr,val_pr_auc,val_roc_auc,test_pr_auc,test_roc_auc,test_pos_rate,scale_pos_weight,params,num_boost_round,early_stopping_rounds
NR-AR,ok,42,74,0.3414243192804001,0.3415032700505875,0.6503352490421457,0.4686107501187021,0.7164900803526986,0.05639614855570839,23.42016806722689,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 23.42016806722689}",5000,50
NR-AR-LBD,ok,42,29,0.30664743335979655,0.30003465855115236,0.7976309642976309,0.6938431197784829,0.9264851077834457,0.08714918759231906,30.988165680473372,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 30.988165680473372}",5000,50
NR-AhR,ok,42,232,0.6196025840438972,0.6168618625336072,0.8336321213033543,0.5260230961398913,0.8248773526001248,0.15396341463414634,8.998091603053435,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 8.998091603053435}",5000,50
NR-Aromatase,ok,42,76,0.2239070189400059,0.22559960055517353,0.6316050432072531,0.30724389959324244,0.7062788438183143,0.07890222984562607,20.655813953488373,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 20.655813953488373}",5000,50
NR-ER,ok,42,221,0.5567930957029766,0.5509326799603116,0.757822277847309,0.458608355954111,0.7019510286225401,0.16774193548387098,7.439522998296423,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 7.439522998296423}",5000,50
NR-ER-LBD,ok,42,93,0.5750083310367543,0.5558892153217017,0.7810856878719594,0.2843956959065879,0.6548851656626506,0.04597701149425287,20.075757575757574,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 20.075757575757574}",5000,50
NR-PPAR-gamma,ok,42,188,0.2482731821298148,0.2232468072548691,0.7165526033279657,0.2292238118092192,0.7702712148748777,0.03565891472868217,36.12230215827338,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 36.12230215827338}",5000,50
SR-ARE,ok,42,386,0.4344029338380307,0.437575403783831,0.7273044576671209,0.32544178869014834,0.7003233392122281,0.1678082191780822,5.570422535211268,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 5.570422535211268}",5000,50
SR-ATAD5,ok,42,354,0.14189816083584017,0.1474742529612701,0.6985260248733303,0.13026886628519144,0.6172008406672796,0.06497175141242938,30.60335195530726,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 30.60335195530726}",5000,50
SR-HSE,ok,42,82,0.2445019626913945,0.2436217222223026,0.7326679208472686,0.23422830265496827,0.687250860277333,0.07561728395061729,17.810909090909092,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""max_depth"": 3, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""min_child_weight"": 1.0, ""tree_method"": ""hist"", ""scale_pos_weight"": 17.810909090909092}",5000,50
