endpoint,status,seed,val_pr_auc,val_roc_auc,test_pr_auc,test_roc_auc,test_pos_rate,scale_pos_weight,best_iteration,best_score_valid_aucpr,max_depth,min_child_weight,gamma,params_base,num_boost_round,early_stopping_rounds
NR-AR,ok,42,0.33106566628590633,0.6213840996168583,0.4670194464970831,0.7144634857427292,0.05639614855570839,23.42016806722689,41,0.3422814779617011,4,5.0,0.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
NR-AR-LBD,ok,42,0.3449444138320584,0.8204037370704036,0.7406885706441234,0.9332729965443475,0.08714918759231906,30.988165680473372,62,0.4204045588288124,2,5.0,0.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
NR-AhR,ok,42,0.6346884205994706,0.8419115131443897,0.5331953793708408,0.8272500222995272,0.15396341463414634,8.998091603053435,338,0.6364587095067495,3,5.0,0.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
NR-Aromatase,ok,42,0.2237881721466269,0.6488407234263587,0.3304249132860328,0.7036677192130192,0.07890222984562607,20.655813953488373,39,0.2363518743142633,4,1.0,1.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
NR-ER,ok,42,0.5663311158647294,0.7738745401448781,0.4798332637063518,0.7026964072748957,0.16774193548387098,7.439522998296423,159,0.5723889471034376,4,1.0,1.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
NR-ER-LBD,ok,42,0.5713657998562904,0.7802189865372393,0.26089716745404934,0.6779461596385543,0.04597701149425287,20.075757575757574,30,0.5986469295042427,4,1.0,0.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
NR-PPAR-gamma,ok,42,0.25761230637932037,0.7220880300590445,0.20418529776893024,0.7780651474905634,0.03565891472868217,36.12230215827338,155,0.2628029344320207,4,1.0,1.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
SR-ARE,ok,42,0.49636855711455574,0.7476814147525181,0.3337814908514475,0.6961031326110692,0.1678082191780822,5.570422535211268,594,0.49666733852558903,4,1.0,0.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
SR-ATAD5,ok,42,0.18216460662488512,0.6839398126823276,0.12289339598640053,0.6352784710363851,0.06497175141242938,30.60335195530726,248,0.17767883558655853,3,5.0,0.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
SR-HSE,ok,42,0.2729318189255044,0.7432936176142697,0.20842118107015176,0.6886988518278764,0.07561728395061729,17.810909090909092,84,0.2748203105420414,4,5.0,1.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
SR-MMP,ok,42,0.5739658986443895,0.8102171424607167,0.5736724564237573,0.8086994668286427,0.22719449225473323,6.053110773899848,598,0.5734840086671583,3,1.0,1.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
SR-p53,ok,42,0.39790542160978737,0.7666302812379606,0.32782191280421813,0.7817844055374593,0.0943952802359882,18.284697508896798,513,0.4032066247953253,2,5.0,1.0,"{""objective"": ""binary:logistic"", ""eval_metric"": ""aucpr"", ""seed"": 42, ""eta"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""lambda"": 1.0, ""alpha"": 0.0, ""tree_method"": ""hist""}",5000,50
