endpoint,best_model,best_test_pr_auc,lr_test_pr_auc,xgb_grid_test_pr_auc,xgb_es_test_pr_auc,xgb_es_grid_test_pr_auc
NR-AR-LBD,XGB-ES+Grid,0.7406885706441234,0.556068827664688,0.638360524188708,0.6938431197784829,0.7406885706441234
SR-MMP,LR,0.587816286747144,0.587816286747144,0.5816906137319815,0.576095824490284,0.5736724564237573
NR-AhR,XGB-ES+Grid,0.5331953793708408,0.5166466695526571,0.5255954027309655,0.5260230961398913,0.5331953793708408
NR-AR,LR,0.5070146681949729,0.5070146681949729,0.4856425856488925,0.4686107501187021,0.4670194464970831
NR-ER,XGB-ES+Grid,0.4798332637063518,0.4404896276001014,0.479350779295193,0.458608355954111,0.4798332637063518
NR-ER-LBD,XGB-grid,0.3353918266526005,0.2578747293725927,0.3353918266526005,0.2843956959065879,0.2608971674540493
SR-ARE,XGB-ES+Grid,0.3337814908514475,0.3333412519563168,0.3019560270823316,0.3254417886901483,0.3337814908514475
NR-Aromatase,XGB-ES+Grid,0.3304249132860328,0.2702195835659365,0.2680215527652951,0.3072438995932424,0.3304249132860328
SR-p53,XGB-ES+Grid,0.3278219128042181,0.302711794124902,0.2301795894837757,0.297567553354875,0.3278219128042181
NR-PPAR-gamma,LR,0.280703178007546,0.280703178007546,0.2061282409345808,0.2292238118092192,0.2041852977689302
SR-HSE,XGB-ES,0.2342283026549682,0.153214519672138,0.1809722878384416,0.2342283026549682,0.2084211810701517
SR-ATAD5,LR,0.1610673753745578,0.1610673753745578,0.1483190093554786,0.1302688662851914,0.1228933959864005
